ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,Grade Point 
610001,717,704,707,712,726,725,715,722,711,742,708,709,705,702,706,716,710,713,731,160.5
610002,717,702,742,704,711,716,705,709,708,710,707,722,725,712,715,726,731,713,706,166.5
610003,702,705,717,704,709,711,725,716,715,712,722,713,708,710,742,731,726,707,706,155
610004,711,742,722,712,707,709,717,713,726,725,716,731,715,710,708,706,705,704,702,178
610005,725,742,711,712,722,706,716,707,731,705,704,702,717,709,708,710,715,726,713,174.5
610006,722,712,704,708,707,725,711,702,717,715,742,731,710,709,713,726,716,705,706,99
610007,704,715,742,731,726,717,708,702,713,709,711,716,712,725,722,707,706,705,710,119
610008,705,725,712,702,704,722,709,707,717,716,742,715,713,711,708,726,731,710,706,112.5
610009,704,716,726,715,709,702,712,742,722,710,708,713,717,711,706,731,725,707,705,54.5
610010,717,704,712,706,705,711,707,722,716,709,702,710,742,731,715,725,713,708,726,70
610011,704,726,702,717,707,711,712,722,725,742,731,715,705,706,709,713,710,708,716,93
610012,711,709,704,716,717,712,731,715,725,707,722,702,742,705,726,710,708,713,706,89
610013,726,713,716,702,708,715,731,707,712,711,722,725,742,717,709,704,710,706,705,98.5
610014,712,704,711,742,725,722,707,705,717,702,715,716,731,709,708,710,713,706,726,169
610015,711,712,707,725,722,704,709,716,742,731,705,717,715,702,708,710,726,713,706,134.5
610016,712,717,704,707,711,722,725,742,706,710,708,726,709,713,715,716,702,705,731,79.5
610017,705,702,716,712,717,722,707,709,715,704,711,725,726,708,731,742,713,710,706,135
610018,707,711,722,725,712,717,705,702,716,704,742,731,708,713,726,709,715,710,706,184
610019,704,717,715,702,726,713,705,731,712,722,707,716,711,709,742,725,708,710,706,89.5
610020,731,742,725,705,726,707,722,704,702,709,708,710,711,712,713,717,715,716,706,79.5
610021,704,717,708,713,702,731,726,716,710,705,712,707,722,742,709,706,725,715,711,103.5
610022,742,707,702,717,725,722,708,713,710,726,731,716,715,709,705,712,711,706,704,88.5
610023,705,722,709,716,717,702,704,712,713,708,725,711,710,731,707,742,726,715,706,108
610024,709,716,705,702,713,717,704,722,742,712,726,711,708,731,707,725,710,715,706,79
610025,722,707,705,715,704,725,711,712,709,710,708,717,713,742,731,726,716,702,706,86.5
610026,707,722,712,704,742,709,717,713,702,716,705,715,708,710,725,711,731,726,706,104
610027,707,722,713,717,725,711,712,731,742,705,704,709,708,710,726,702,716,715,706,111
610028,731,704,722,742,712,702,717,711,707,726,725,705,709,715,716,708,713,710,706,105.5
610029,712,704,707,705,713,725,722,717,702,709,726,715,716,711,731,708,710,742,706,133.5
610030,707,716,704,702,713,722,708,726,711,712,731,717,709,725,742,705,715,710,706,104.5
610031,710,717,704,708,705,702,711,712,709,725,722,716,713,742,731,707,726,715,706,72.5
610032,731,711,707,709,712,717,704,722,725,706,742,702,713,715,708,710,716,726,705,137.5
610033,707,712,717,704,711,725,715,705,709,713,716,731,742,722,708,710,702,726,706,116.5
610034,709,711,712,704,707,702,705,708,710,713,717,715,722,725,726,731,742,716,706,122.5
610035,731,742,706,710,715,708,713,717,702,704,725,722,712,726,705,707,709,711,716,117
610036,711,722,707,712,725,705,704,709,716,702,731,742,708,713,715,717,726,710,706,126
610037,705,717,702,710,716,704,715,709,726,708,707,722,713,711,712,725,731,742,706,101
610038,711,707,712,717,705,702,725,709,722,706,704,716,742,713,708,710,715,726,731,156
610039,704,717,709,702,713,706,716,708,707,711,705,722,725,731,710,726,712,715,742,87
